German,English,Frequency
ehemann,husband,8432
erschossen,shot,8431
verzeihen,forgive,8424
schwein,pig,8424
uh,uh,8414
monster,monster,8409
entschieden,decided,8408
mission,mission,8408
verdammten,damned,8398
brauch,custom,8391
gewusst,know,8376
vorne,ahead,8371
stopp,stop,8367
übel,evil,8362
schlampe,slut,8361
schöner,more beautiful,8358
adresse,address,8356
unsinn,nonsense,8340
messer,knife,8335
gesund,healthy,8331
respekt,respect,8328
pro,Per,8322
leisten,Afford,8316
davor,before,8303
richard,Richard,8271
bedeuten,mean,8264
ball,ball,8258
mitnehmen,take,8256
gespielt,played,8254
to,to,8246
schwierigkeiten,trouble,8238
hälfte,half,8236
kannte,knew,8202
stehe,am,8191
maria,Maria,8178
planeten,planet,8169
schwanger,pregnant,8156
gruppe,group,8153
anna,Ann,8151
verhaftet,arrested,8118
deal,deal,8098
seines,his,8098
irgendwelche,any,8096
händen,hands,8094
versteht,understood,8093
drehen,rotate,8083
eis,ice,8082
danken,to thank,8074
erfolg,success,8064
zufrieden,satisfied,8061
schließen,shut down,8059
besorgen,to get,8059
wochenende,weekend,8041
worüber,about what,8041
stimmen,be right,8028
nehmt,take,8027
martin,martin,8025
m,m,8016
witze,joking,8010
beine,legs,8009
verbrechen,crime,8009
bericht,report,8007
nachts,at night,7964
eurer,yours,7961
prinzessin,princess,7960
schmerz,pain,7959
klingelt,rings,7959
position,position,7947
echte,real,7942
gleichen,equal,7932
fernsehen,watch TV,7915
wünsche,Wishes,7912
schließlich,in the end,7900
gefangen,captured,7896
schätzchen,baby,7887
seh,seh,7880
schwierig,difficult,7876
angebot,offer,7873
nah,close,7865
jane,jane,7863
gewartet,waited,7860
kümmert,takes care,7850
ring,ring,7839
rennen,run,7835
lied,song,7827
eier,eggs,7821
welchen,which,7812
sorry,sorry,7812
fantastisch,fantastic,7805
schaut,looks,7797
hielt,held,7787
falle,cases,7786
drink,drink,7784
insel,island,7781
dauern,last,7776
daher,therefore,7771
zufällig,coincidentally,7739
dorf,Village,7729
clark,clark,7724
bewegt,emotional,7722
mitten,in the middle,7708
bullen,cops,7703
feind,enemy,7701
einverstanden,I Agree,7685
neuer,new,7682
bauen,to build,7681
trägt,wearing,7679
hängen,hang,7677
freunden,friends,7665
deren,their,7663
halb,half,7659
verpasst,lost,7653
sprach,spoke,7653
leise,quietly,7651
armen,poor,7639
wusstest,knew,7637
fanden,found,7635
unternehmen,Companies,7630
träume,dreams,7609
schläft,is sleeping,7602
kostet,costs,7589
spiele,games,7587
unseres,our,7568
entlang,along,7566
johnny,johnny,7562
versprechen,promise,7561
tiere,animals,7546
freiheit,freedom,7525
verdienen,to earn,7519
aha,Aha,7512
unterhalten,to chat,7512
eingeladen,invited,7500
schaden,damage,7496
genannt,called,7481
beenden,break up,7477
ray,ray,7470
geändert,changed,7461
thomas,Thomas,7456
lächerlich,ridiculous,7452
geschlagen,beaten,7452
park,park,7448
schätzen,estimate,7440
männern,men,7438
t,t,7434
beginnt,starts,7430
ehren,to honor,7429
größte,greatest,7426
energie,energy,7412
fleisch,flesh,7407
besonderes,special,7400
besteht,consists,7397
reichen,pass,7396
robert,Robert,7383
zeitung,newspaper,7361
worum,about what,7357
nachgedacht,thought,7351
betrunken,drunk,7350
sowas,like this,7343
patienten,patient,7342
gespräch,conversation,7342
leiden,To suffer,7334
taxi,taxi,7317
tötet,killing,7312
see,lake,7311
unterschied,difference,7311
wind,wind,7286
singt,sings,7283
schreien,scream,7274
daniel,Daniel,7272
sahen,saw,7272
wand,wall,7256
bus,bus,7253
lhre,Their,7252
angriff,attack,7251
verhalten,behavior,7247
loch,hole,7238
interesse,interest,7235
treten,to step,7234
quatsch,nonsense,7233
trifft,meets,7227
polizist,police officer,7224
blumen,flowers,7218
neuigkeiten,news,7217
bringst,bring,7217
flasche,bottle,7206
rief,cried,7203
schuss,shot,7198
fassen,take,7193
meer,sea,7188
konntest,could,7182
schafft,creates,7180
maschine,machine,7180
spreche,speak,7178
bein,leg,7174
eddie,eddie,7172
bekommst,get,7169
verbringen,spend,7162
bücher,Books,7147
blöd,stupid,7125
frühstück,breakfast,7121
tommy,tommy,7118
meter,meter,7111
bilder,photos,7096
aufpassen,watch out,7091
claire,claire,7090
dessen,whose,7082
muß,got to,7080
freuen,looking forward,7063
engel,Angel,7061
offenbar,apparently,7061
gelegenheit,opportunity,7056
fang,fishing,7047
lüge,lie,7045
ohren,ears,7042
au,au,7042
angetan,done,7039
beeil,hurry,7037
brechen,break,7037
brüder,brothers,7035
zeitpunkt,time,7024
keinem,any,7023
ecke,corner,7019
brücke,bridge,7012
druck,print,7000
mitgebracht,brought,6997
seufzt,sighs,6997
date,date,6993
haufen,heap,6986
oma,granny,6985
auftrag,assignment,6980
leer,empty,6968
entkommen,escape,6965
bobby,Bobby,6960
weißen,white,6960
lösung,solution,6951
wart,serviceable,6933
pause,Break,6929
irre,crazy,6929
gestellt,posed,6927
keller,"basement, cellar",6922
gebrochen,Broken,6915
weinen,cry,6915
nutzen,use,6904
wünschen,to wish,6903
fragt,asks,6899
maul,mouth,6899
verantwortung,responsibility,6897
schloss,lock,6891
hut,cap,6882
lächeln,smile,6881
ryan,ryan,6876
red,red,6864
grad,Degree,6853
zweiten,second,6849
hinaus,out,6848
mitkommen,come along,6842
vorhin,earlier,6840
fahrt,journey,6833
gemeint,meant,6830
ernsthaft,seriously,6828
gebaut,built,6826
bombe,bomb,6816
hasst,hates,6804
versteh,understand,6793
kosten,costs,6786
zeige,show,6779
traf,hit,6778
eigenes,own,6771
haar,hair,6763
fragte,asked,6757
jason,jason,6753
operation,surgery,6736
befehle,commands,6735
schmerzen,pain,6728
erklärt,explained,6727
steve,steve,6726
dach,"top, roof",6713
folge,episode,6711
gelaufen,ran,6702
schwarze,black,6699
dankbar,grateful,6689
gehirn,brain,6685
töte,kill,6681
mädels,girls,6680
mut,courage,6674
heilige,saint,6656
laura,laura,6654
tier,animal,6653
system,system,6648
mannes,man,6640
wahnsinn,madness,6639
nee,nope,6634
rose,rose,6632
club,club,6628
geschlossen,closed,6616
hintern,butt,6614
is,is,6607
thema,theme,6606
fiel,fell,6603
gehalten,held,6595
dorthin,there,6582
urlaub,vacation,6564
steig,sidewalk,6562
vorwärts,forward,6562
überprüfen,check,6561
besseres,better,6556
beweis,proof,6554
baum,tree,6544
gebt,give,6543
funktionieren,function,6541
anscheinend,apparently,6532
lehrer,teacher,6528
hoffen,to hope,6526
bessere,better,6503
isst,eats,6498
nachmittag,afternoon,6492
nem,nEM,6491
risiko,risk,6482
chuck,chuck,6479
knast,slammer,6476
entschuldigt,apologizes,6467
gilt,applies,6460
held,hero,6458
daraus,from that,6456
erstes,first,6444
fräulein,young lady,6438
rachel,rachel,6434
prima,fine,6417
brauchte,needed,6401
gewalt,violence,6401
dean,dean,6400
liebes,dear,6399
schaffst,manage,6397
nachdenken,think,6396
tor,gate,6382
erfahrung,Experience,6381
pläne,plans,6381
jagen,to hunt,6380
katze,cat,6377
runde,round,6377
deutsche,German,6370
schwanz,tail,6369
taten,doings,6365
lord,lord,6360
dringend,urgent,6359
commander,commander,6353
großvater,grandfather,6351
sommer,summer,6351
gezeigt,shown,6347
hinterlassen,leave,6347
gewissen,conscience,6346
getrunken,drunk,6343
wahre,real,6332
luke,hatch,6328
kunden,Customers,6326
kate,cottage,6318
zeugen,testify,6316
geplant,planned,6314
amanda,amanda,6306
erreicht,reached,6303
stören,to disturb,6302
stein,stone,6301
atmen,to breathe,6291
hose,trousers,6273
weiße,white,6272
sprichst,speak,6271
größer,greater,6270
schickt,sends,6270
city,City,6265
prinz,prince,6260
behandelt,treated,6252
tote,dead,6250
überlegen,consider,6249
karten,cards,6233
it,it,6233
d,d,6228
restaurant,restaurant,6223
welchem,wherein,6222
roger,roger,6221
natur,nature,6219
carter,carter,6213
emily,Emily,6207
mami,mommy,6206
verschwindet,disappears,6205
lautet,reads,6200
streit,argument,6196
küssen,kiss,6196
sprich,speak,6192
längst,a long time ago,6189
fängt,catches,6182
drüber,about it,6179
gingen,went,6177
erlaubt,allowed,6177
einzigen,single,6156
bad,bath,6155
schmeckt,tastes,6154
kugel,Bullet,6146
normalerweise,usually,6143
schwarzen,black,6141
rauf,up,6137
flug,flight,6126
beruhigen,soothe,6122
walter,walter,6118
halbe,half,6108
dan,Dan,6106
geschieht,happens,6101
einiges,some,6100
entdeckt,discovered,6097
morgens,In the morning,6094
schlechter,worse,6092
vollkommen,completely,6082
gelogen,lied,6081
verfolgt,tracked,6078
college,college,6070
weiteren,more,6070
chris,chris,6067
louis,louis,6065
eh,eh,6062
schwert,sword,6060
hunde,dogs,6059
steigen,climb,6057
verdammter,fucking,6057
dürfte,might,6051
riecht,smells,6050
labor,laboratory,6049
bat,asked,6047
tim,Tim,6041
arthur,arthur,6041
mindestens,at least,6041
fisch,fish,6038
eurem,your,6037
füße,feet,6035
stehst,standing,6021
erschießen,shoot dead,6009
kuchen,cake,6004
versuchte,tried,6004
zustand,Status,6003
wunsch,wish,5993
gäste,Guests,5990
erwähnt,mentioned,5988
farbe,colour,5988
van,van,5986
einigen,some,5985
zufall,coincidence,5983
garten,garden,5983
junger,younger,5983
autos,cars,5981
abgesehen,apart,5981
fair,fair,5977
vertraut,familiar,5962
koffer,suitcase,5956
hieß,was called,5955
kurs,course,5950
wirkt,acts,5950
idioten,idiot,5948
netter,nice,5946
seitdem,since,5946
angegriffen,attacked,5945
geschichten,stories,5943
wahnsinnig,insane,5940
ähnlich,similar,5939
lily,lily,5937
aufgeben,to give up,5927
england,England,5919
entführt,kidnapped,5917
ms.,ms.,5915
mistkerl,dirty swine,5913
solchen,such a,5903
ner,ner,5901
geschossen,shot,5901
lager,warehouse,5900
besprechen,discuss,5897
reihe,line,5895
polizisten,police officers,5893
vogel,bird,5892
legt,puts,5875
strand,Beach,5873
amerikaner,American,5869
schwarz,black,5861
fern,remote,5852
fick,fuck,5851
scherz,joke,5844
san,san,5844
erzählte,told,5842
wichser,wanker,5836
jake,jake,5835
langweilig,boring,5820
womit,by which,5817
geschäfte,businesses,5808
my,my,5807
kapiert,Got it,5806
nachher,later,5797
verlangt,requires,5797
schlägt,beats,5796
überzeugt,convinced,5788
irgendjemand,anyone,5785
rot,red,5784
soldat,soldier,5782
vorbereitet,prepared,5777
geschah,happened,5771
reisen,to travel,5767
termin,meeting,5765
gang,corridor,5761
stehlen,steal,5760
rechte,right,5760
rache,revenge,5751
bemerkt,noticed,5750
frankreich,France,5746
stört,disturbs,5745
radio,radio,5740
beruhige,calm down,5737
pferde,horses,5731
vertrag,contract,5730
arbeitest,work,5728
dienst,service,5727
zählt,counts,5727
fragst,ask,5723
wesen,being,5722
bürgermeister,mayor,5720
emma,emma,5716
fluss,flow,5711
woran,by which,5711
geblieben,remained,5711
durcheinander,confused,5705
me,me,5702
ted,ted,5700
nette,nice,5690
test,test,5689
mister,mister,5688
dadurch,thereby,5673
direktor,director,5671
wichtiger,more important,5665
kevin,Kevin,5662
scott,scott,5658
karriere,Career,5655
akte,file,5633
erinnerung,memory,5621
großmutter,grandmother,5603
erzähle,tell,5600
lösen,to solve,5597
bravo,Bravo,5590
griff,Handle,5585
verfolgen,follow,5581
zweifel,doubt,5581
such,search,5579
sprache,language,5579
nerven,annoy,5577
officer,officer,5576
andy,andy,5575
langer,longer,5575
ziehe,pull,5563
entlassen,dismiss,5562
zweimal,twice,5559
abholen,pick up,5556
washington,Washington,5547
kollegen,colleagues,5546
doc,doc,5543
fass,barrel,5538
szene,scene,5525
robin,robin,5524
scheinen,seem to be,5502
bösen,bad,5500
schaffe,create,5490
pflicht,mandatory,5489
wache,guard,5485
neulich,recently,5484
beeilen,hurry,5483
knie,knee,5483
alice,alice,5480
lauter,volume up,5471
spannende,exciting,5470
unschuldig,innocent,5469
folgt,follows,5464
schutz,protection,5464
weshalb,why,5463
geheiratet,got married,5458
woanders,somewhere else,5450
wurdest,wast,5449
kuss,kiss,5447
verhindern,prevent,5445
erklärung,Explanation,5444
video,Video,5444
rom,Rome,5441
klug,Smart,5435
kräfte,personnel,5432
verlangen,desire,5428
außerhalb,outside,5424
opa,Grandpa,5423
selbstverständlich,Of course,5421
aufstehen,stand up,5420
hassen,to hate,5417
pete,pete,5416
gebrauchen,use,5414
geglaubt,believed,5409
milch,milk,5406
trink,drinking,5405
gefeuert,fired,5404
erinnerungen,memories,5399
müssten,would,5398
suchst,looking,5395
fährst,are going,5379
kochen,Cook,5378
schwach,weak,5368
schreibt,writes,5364
schulden,owe,5344
hinein,in,5343
simon,Simon,5332
grenze,border,5327
braut,bride,5319
gebraucht,second hand,5319
peinlich,embarrassing,5311
klappt,folds,5302
geheimnisse,secrets,5301
joey,joey,5299
aufmerksamkeit,attention,5297
form,shape,5293
umsonst,for free,5283
kennenzulernen,know,5277
überlebt,survived,5274
nirgendwo,nowhere,5268
meilen,miles,5260
einfacher,easier,5260
blöde,stupid,5259
mond,moon,5253
ergibt,results,5251
daten,Data,5246
merken,notice,5240
schande,shame,5235
fuck,fuck,5233
fühlte,felt,5231
jenny,jenny,5231
sieg,victory,5231
satt,Fed up,5229
blödsinn,nonsense,5227
adam,Adam,5226
lisa,lisa,5226
pfund,lb,5223
handeln,act,5222
lois,lois,5221
enden,end up,5221
warm,warm,5215
raten,guess,5212
übersetzung,translation,5207
kunst,art,5207
kapitän,captain,5200
desto,more,5200
einsatz,commitment,5197
schweigen,remain silent,5195
krankheit,illness,5193
toller,great,5189
schatten,shadow,5188
wachen,watch,5187
tatsache,fact,5181
eric,eric,5179
stock,floor,5178
chief,chief,5176
hingehen,go forth,5172
verboten,forbidden,5167
gäbe,would,5165
anzug,suit,5163
leichen,corpses,5162
high,high,5155
beendet,completed,5153
freitag,Friday,5148
million,million,5143
verflucht,cursed,5136
dunkel,dark,5134
geb,give,5126
enttäuscht,disappointed,5125
klopfen,beat,5125
spuren,traces,5124
dreck,dirt,5120
seiten,pages,5118
mühe,effort,5114
gezogen,drawn,5113
brian,brian,5109
kontrollieren,check,5107
knochen,bone,5104
schick,fancy,5102
getrennt,Cut,5101
programm,program,5099
grab,dig,5097
ebenso,as well,5095
trage,sluggish,5095
nachbarn,neighbours,5091
bieten,Offer,5090
bestes,best,5085
elizabeth,elizabeth,5084
fuhr,drove,5082
verlässt,leaves,5077
freundlich,friendly,5073
dennoch,yet,5072
rauchen,smoke,5072
dick,thick,5066
stuhl,chair,5062
dreh,twist,5061
bester,best,5061
schicke,chic,5059
vergeben,forgive,5058
ausgehen,go out,5058
behandeln,to treat,5058
trotz,in spite of,5054
gast,guest,5053
ändert,change,5052
passierte,happened,5052
toilette,Toilet,5043
annehmen,accept,5041
herzlichen,warm,5039
hexe,witch,5039
erwachsen,grown up,5037
jerry,jerry,5016
pistole,pistol,5014
saß,sat,5013
dreht,rotates,5012
aussage,statement,5010
liebte,loved,5006
street,street,5006
genießen,enjoy,5006
eifersüchtig,jealous,5002
derjenige,the one,5001
teuer,expensive,4999
leo,leo,4999
zähne,teeth,4991
beobachtet,observed,4988
gentlemen,gentlemen,4986
wählen,choose,4986
helft,help,4985
fliegt,flies,4983
theater,theatre,4982
regen,rain,4981
feinde,enemies,4981
william,william,4979
erlauben,allow,4975
zulassen,allow,4971
schnappen,grab,4962
komplett,complete,4962
panik,panic,4961
flughafen,Airport,4960
bewusst,deliberately,4958
deutschen,German,4958
voraus,ahead,4953
sterbe,die,4948
solltet,should,4941
begleiten,accompany,4940
einander,each other,4935
fred,fred,4935
erlebt,experienced,4934
weiterhin,Farther,4925
stärker,stronger,4922
fahrer,driver,4921
konzentrieren,focus,4919
streiten,fight,4918
angeht,As for,4917
selben,the same,4914
star,star,4912
überzeugen,to convince,4906
alkohol,alcohol,4903
übersetzt,translated,4903
verrückte,crazy,4902
lch,l,4902
king,king,4902
begann,started,4898
angenommen,accepted,4897
weitermachen,keep going,4895
echter,real,4888
jackson,Jackson,4876
post,post Office,4873
mitgenommen,took,4872
botschaft,Embassy,4872
ideen,ideas,4870
fehlen,absence,4868
aufgeregt,excited,4868
selbstmord,Suicide,4866
dumme,silly,4866
zurückkommen,Come back,4859
irgendein,any,4858
